"Make","Model","Price","Mileage"
"FORD","FIESTA",8299,10794
"FORD","FIESTA",11995,580
"FORD","FIESTA",8400,9296
"FORD","FIESTA",7995,19580
"FORD","FIESTA",5891,61165
"FORD","FIESTA",7370,11903
"FORD","FIESTA",7000,33561
"FORD","FIESTA",9795,101
"FORD","FIESTA",7500,10725
"FORD","FIESTA",7000,22606
"FORD","FIESTA",8495,4530
"FORD","FIESTA",7290,38511
"FORD","FIESTA",6350,27562
"FORD","FIESTA",8699,6348
"FORD","FIESTA",5998,33884
"FORD","FIESTA",7242,7912
"FORD","FIESTA",6608,20080
"FORD","FIESTA",7500,22509
"FORD","FIESTA",7499,13507
"FORD","FIESTA",7300,11460
"FORD","FIESTA",6995,5881
"FORD","FIESTA",6495,7502
"FORD","FIESTA",7999,7869
"FORD","FIESTA",6500,19844
"FORD","FIESTA",7700,16668
"FORD","FIESTA",7198,29647
"FORD","FIESTA",6289,30536
"FORD","FIESTA",8199,7150
"FORD","FIESTA",6191,18206
"FORD","FIESTA",5500,69264
"FORD","FIESTA",8299,13589
"FORD","FIESTA",9270,3270
"FORD","FIESTA",7290,3354
"FORD","FIESTA",11000,100
"FORD","FIESTA",8180,8279
"FORD","FIESTA",6495,11541
"FORD","FIESTA",8500,6577
"FORD","FIESTA",6795,22597
"FORD","FIESTA",7900,13255
"FORD","FIESTA",7475,9706
"FORD","FIESTA",7999,16727
"FORD","FIESTA",7995,10534
"FORD","FIESTA",6250,23000
"FORD","FIESTA",8490,2000
"FORD","FIESTA",8250,6079
"FORD","FIESTA",6675,20857
"FORD","FIESTA",6748,21447
"FORD","FIESTA",6799,26128
"FORD","FIESTA",7237,21168
"FORD","FIESTA",9995,10
"FORD","FIESTA",8000,14036
"FORD","FIESTA",6740,26546
"FORD","FIESTA",8398,6124
"FORD","FIESTA",6487,23449
"FORD","FIESTA",7000,14040
"FORD","FIESTA",6750,18014
"FORD","FIESTA",10699,5107
"FORD","FIESTA",9599,12701
"FORD","FIESTA",6349,31618
"FORD","FIESTA",8490,11754
"FORD","FIESTA",6908,19300
"FORD","FIESTA",6800,13651
"FORD","FIESTA",7495,17500
"FORD","FIESTA",6495,32000
"FORD","FIESTA",7000,18000
"FORD","FIESTA",9347,1804
"FORD","FIESTA",6299,33797
"FORD","FIESTA",8800,10231
"FORD","FIESTA",7500,17477
"FORD","FIESTA",6500,26244
"FORD","FIESTA",7500,12058
"FORD","FIESTA",7995,14700
"FORD","FIESTA",7000,21209
"FORD","FIESTA",5970,26000
"FORD","FIESTA",7500,17404
"FORD","FIESTA",9000,9516
"FORD","FIESTA",11000,4604
"FORD","FIESTA",8371,1944
"FORD","FIESTA",7500,17498
"FORD","FIESTA",8795,11803
"FORD","FIESTA",7695,11212
"FORD","FIESTA",7995,9574
"FORD","FIESTA",9990,643
"FORD","FIESTA",9049,525
"FORD","FIESTA",7999,11136
"FORD","FIESTA",9295,7471
"FORD","FIESTA",8270,5722
"FORD","FIESTA",5798,51698
"FORD","FIESTA",7250,15000
"FORD","FIESTA",7000,11579
"FORD","FIESTA",9070,2632
"FORD","FIESTA",8700,8036
"FORD","FIESTA",7000,1803
"FORD","FIESTA",6648,22166
"FORD","FIESTA",5999,39536
"FORD","FIESTA",8469,12987
"FORD","FIESTA",6599,13654
"FORD","FIESTA",8495,7315
"FORD","FIESTA",8000,11645
"FORD","FIESTA",6998,26183
"FORD","FIESTA",7714,14476
"FORD","FIESTA",8457,4546
"FORD","FIESTA",6395,29690
"FORD","FIESTA",7799,10469
"FORD","FIESTA",8191,6938
"FORD","FIESTA",8500,7533
"FORD","FIESTA",7298,13035
"FORD","FIESTA",6052,46141
"FORD","FIESTA",7500,3887
"FORD","FIESTA",7995,9609
"FORD","FIESTA",7945,3479
"FORD","FIESTA",7995,6541
"FORD","FIESTA",8695,17347
"FORD","FIESTA",7595,26893
"FORD","FIESTA",7599,18521
"FORD","FIESTA",6796,26154
"FORD","FIESTA",8570,2801
"FORD","FIESTA",7799,10220
"FORD","FIESTA",8195,11470
"FORD","FIESTA",7695,9381
"FORD","FIESTA",6500,18134
"FORD","FIESTA",6488,28506
"FORD","FIESTA",10400,21
"FORD","FIESTA",7290,4141
"FORD","FIESTA",5190,38655
"FORD","FIESTA",7495,17463
"FORD","FIESTA",8495,5875
"FORD","FIESTA",7795,6871
"FORD","FIESTA",7900,6800
"FORD","FIESTA",7683,1550
"FORD","FIESTA",7518,24099
"FORD","FIESTA",9495,10
"FORD","FIESTA",6495,30000
"FORD","FIESTA",8795,3833
"FORD","FIESTA",6790,14505
"FORD","FIESTA",11295,1
"FORD","FIESTA",6795,12178
"FORD","FIESTA",6749,17639
"FORD","FIESTA",10200,4217
"FORD","FIESTA",9000,3905
"FORD","FIESTA",6995,14055
"FORD","FIESTA",6894,23848
"FORD","FIESTA",6299,39856
"FORD","FIESTA",8999,15308
"FORD","FIESTA",8000,18505
"FORD","FIESTA",7495,23319
"FORD","FIESTA",6499,23841
"FORD","FIESTA",7500,26186
"FORD","FIESTA",7975,11476
"FORD","FIESTA",7326,10412
"FORD","FIESTA",6974,3400
"FORD","FIESTA",6795,12514
"FORD","FIESTA",7500,7452
"FORD","FIESTA",6795,24624
"FORD","FIESTA",7700,19662
"FORD","FIESTA",8000,5421
"FORD","FIESTA",9200,4029
"FORD","FIESTA",6290,14954
"FORD","FIESTA",7500,23046
"FORD","FIESTA",7995,4000
"FORD","FIESTA",7300,3762
"FORD","FIESTA",8790,3814
"FORD","FIESTA",8340,3225
"FORD","FIESTA",8599,9954
"FORD","FIESTA",6495,50332
"FORD","FIESTA",7588,21612
"FORD","FIESTA",8669,2917
"FORD","FIESTA",6791,5617
"FORD","FIESTA",6990,18272
"FORD","FIESTA",6895,23254
"FORD","FIESTA",6000,37513
"FORD","FIESTA",7500,13657
"FORD","FIESTA",7695,12126
"FORD","FIESTA",9499,11110
"FORD","FIESTA",6895,19815
"FORD","FIESTA",6698,12248
"FORD","FIESTA",6980,12964
"FORD","FIESTA",7389,750
"FORD","FIESTA",6969,17317
"FORD","FIESTA",7290,30355
"FORD","FIESTA",7290,29093
"FORD","FIESTA",9250,5
"FORD","FIESTA",7995,7812
"FORD","FIESTA",5900,33825
"FORD","FIESTA",6995,13780
"FORD","FIESTA",6500,26000
"FORD","FIESTA",7600,11580
"FORD","FIESTA",7495,8800
"FORD","FIESTA",8028,10496
"FORD","FIESTA",8610,1128
"FORD","FIESTA",7498,6088
"FORD","FIESTA",6388,32077
"FORD","FIESTA",8495,13122
"FORD","FIESTA",8200,4355
"FORD","FIESTA",7495,17022
"FORD","FIESTA",7495,17618
"FORD","FIESTA",7698,17828
"FORD","FIESTA",7500,5981
"FORD","FIESTA",6295,29000
"FORD","FIESTA",7491,8285
"FORD","FIESTA",8599,6247
"FORD","FIESTA",7970,7955
"FORD","FIESTA",9000,2994
"FORD","FIESTA",5980,34655
"FORD","FIESTA",7190,17000
"FORD","FIESTA",7980,12000
"FORD","FIESTA",7995,5781
"FORD","FIESTA",8000,8054
"FORD","FIESTA",7000,13823
"FORD","FIESTA",9000,18154
"FORD","FIESTA",9000,3896
"FORD","FIESTA",8500,8359
"FORD","FIESTA",7800,14031
"FORD","FIESTA",7995,13143
"FORD","FIESTA",8000,10303
"FORD","FIESTA",7198,10722
"FORD","FIESTA",7491,7130
"FORD","FIESTA",8300,12566
"FORD","FIESTA",6500,19001
"FORD","FIESTA",8200,6851
"FORD","FIESTA",7200,28035
"FORD","FIESTA",7750,14512
"FORD","FIESTA",7290,7524
"FORD","FIESTA",6450,25788
"FORD","FIESTA",7285,17086
"FORD","FIESTA",6988,10862
"FORD","FIESTA",6490,16216
"FORD","FIESTA",8270,9140
"FORD","FIESTA",6995,13837
"FORD","FIESTA",7995,17214
"FORD","FIESTA",8251,28002
"FORD","FIESTA",7575,18546
"FORD","FIESTA",7250,29196
"FORD","FIESTA",8195,14989
"FORD","FIESTA",8000,6123
"FORD","FIESTA",7000,33181
"FORD","FIESTA",8296,3505
"FORD","FIESTA",6399,46553
"FORD","FIESTA",6750,42036
